Date,Winning No.,Addl No.
2022-11-03,"13,21,24,25,26,41",11
2022-10-31,"4,14,17,25,29,49",36
2022-10-27,"13,16,25,41,45,46",20
2022-10-24,"7,11,17,21,41,43",30
2022-10-20,"2,9,19,27,33,37",21
2022-10-17,"1,8,16,24,38,43",15
2022-10-13,"2,4,8,17,22,40",6
2022-10-10,"8,10,18,26,42,47",49
2022-10-06,"10,19,20,22,26,46",4
2022-10-03,"7,16,20,29,33,42",39
2022-09-29,"27,29,31,44,46,49",42
2022-09-26,"6,19,24,34,43,46",21
2022-09-22,"3,11,19,26,43,49",37
2022-09-19,"1,5,14,23,40,45",16
2022-09-15,"13,15,27,29,38,45",40
2022-09-12,"8,15,21,22,39,43",44
2022-09-08,"1,8,11,12,22,46",35
2022-09-05,"4,9,13,18,34,47",3
2022-09-01,"1,18,28,42,43,48",45
2022-08-29,"4,8,9,15,22,31",13
2022-08-25,"3,5,13,23,24,48",10
2022-08-22,"5,20,23,36,42,44",47
2022-08-18,"2,4,12,18,28,43",38
2022-08-15,"7,22,29,34,38,41",35
2022-08-11,"10,12,16,18,32,44",22
2022-08-08,"2,9,33,34,37,49",29
2022-08-05,"14,18,24,37,43,45",8
2022-08-01,"3,10,12,29,45,47",26
2022-07-28,"1,2,25,33,36,40",7
2022-07-25,"2,6,29,30,31,44",40
2022-07-21,"4,15,31,42,43,47",39
2022-07-18,"3,20,36,41,43,47",9
2022-07-14,"8,10,15,36,39,44",9
2022-07-11,"1,6,13,25,34,43",42
2022-07-07,"16,17,20,33,39,49",7
2022-07-04,"2,3,9,27,28,38",15
2022-06-30,"2,15,17,27,41,48",38
2022-06-27,"21,24,27,32,34,38",41
2022-06-23,"24,27,32,38,46,49",11
2022-06-20,"20,25,28,33,40,49",1
2022-06-16,"2,7,16,18,24,45",36
2022-06-13,"3,5,12,16,30,45",49
2022-06-09,"7,14,15,16,17,38",44
2022-06-06,"12,28,29,34,41,47",16
2022-06-02,"12,19,26,28,46,49",41
2022-05-30,"8,13,19,34,37,47",29
2022-05-26,"6,11,30,34,43,45",2
2022-05-23,"7,10,16,21,27,35",22
2022-05-19,"5,8,13,20,21,46",31
2022-05-16,"21,22,40,41,42,46",9
2022-05-12,"15,20,36,38,41,46",10
2022-05-09,"5,12,15,21,30,39",6
2022-05-05,"7,13,35,39,41,45",1
2022-05-02,"12,14,23,32,35,38",13
2022-04-28,"5,6,11,16,22,37",44
2022-04-25,"6,16,26,32,39,47",23
2022-04-21,"13,16,19,32,38,43",20
2022-04-18,"12,20,33,39,42,48",49
2022-04-14,"4,6,23,26,29,30",36
2022-04-11,"2,12,18,27,36,49",6
2022-04-07,"1,7,10,28,31,44",9
2022-04-04,"14,15,28,31,40,42",44
2022-03-31,"1,4,10,22,24,45",47
2022-03-28,"5,9,10,12,39,44",14
2022-03-24,"3,12,15,22,34,45",2
2022-03-21,"1,20,22,23,24,31",2
2022-03-17,"5,7,30,42,47,49",17
2022-03-14,"19,37,38,45,47,49",25
2022-03-10,"1,8,25,32,45,46",44
2022-03-07,"19,22,24,28,29,42",40
2022-03-03,"8,13,24,30,40,44",45
2022-02-28,"1,9,20,27,37,49",33
2022-02-24,"4,11,15,25,41,48",14
2022-02-21,"1,19,22,27,37,44",25
2022-02-17,"1,4,19,35,37,45",49
2022-02-14,"10,23,29,33,37,43",8
2022-02-11,"9,13,14,16,18,28",10
2022-02-07,"1,11,17,28,32,35",44
2022-02-03,"15,28,31,32,44,49",18
2022-01-31,"5,6,10,22,23,40",38
2022-01-27,"7,21,27,30,32,34",39
2022-01-24,"1,8,10,31,32,38",39
2022-01-21,"2,4,11,13,28,38",49
2022-01-17,"4,13,26,31,33,35",29
2022-01-13,"3,6,18,20,26,35",34
2022-01-10,"8,11,17,21,30,44",48
2022-01-07,"3,8,11,20,44,49",32
2022-01-03,"6,12,20,33,46,47",49
2021-12-30,"4,7,12,13,21,35",29
2021-12-27,"3,9,13,23,24,44",7
2021-12-23,"1,21,35,39,44,45",42
2021-12-20,"4,5,16,18,24,34",27
2021-12-16,"6,26,27,37,40,43",49
2021-12-13,"5,18,19,23,40,49",20
2021-12-09,"1,17,30,31,42,43",46
2021-12-06,"7,16,33,37,42,43",48
2021-12-02,"6,12,22,23,40,49",25
2021-11-29,"1,7,12,26,28,32",21
2021-11-25,"6,20,27,32,40,44",4
2021-11-22,"1,3,16,20,35,41",5
2021-11-18,"1,10,39,43,45,48",14
2021-11-15,"23,27,31,34,43,48",1
2021-11-11,"5,7,12,35,48,49",2
2021-11-08,"7,8,20,31,35,41",3
2021-11-04,"7,18,22,36,44,45",30
2021-11-01,"7,15,22,24,26,37",9
2021-10-28,"3,20,27,34,35,46",37
2021-10-25,"4,18,24,40,43,47",48
2021-10-21,"7,22,23,25,42,43",18
2021-10-18,"5,23,24,27,44,49",26
2021-10-14,"10,15,16,24,45,47",19
2021-10-11,"10,26,27,36,37,43",42
2021-10-07,"1,27,28,39,40,49",33
2021-10-04,"10,14,28,30,35,40",6
2021-09-30,"5,8,14,26,30,44",47
2021-09-27,"20,28,33,38,40,44",49
2021-09-23,"9,35,41,42,43,44",29
2021-09-20,"3,6,10,16,33,49",1
2021-09-16,"9,10,15,30,38,48",2
2021-09-13,"6,25,26,41,42,44",37
2021-09-09,"5,19,30,33,37,42",38
2021-09-06,"1,15,31,32,33,44",20
2021-09-02,"3,4,6,10,19,42",34
2021-08-30,"19,23,24,27,36,37",17
2021-08-26,"5,18,24,37,38,49",35
2021-08-23,"5,17,26,27,31,48",4
2021-08-19,"1,3,9,39,40,47",29
2021-08-16,"10,21,28,31,37,38",6
2021-08-12,"2,20,25,29,32,49",36
2021-08-09,"15,24,33,34,36,40",18
2021-08-05,"3,17,19,23,32,38",7
2021-08-02,"12,16,23,26,33,44",10
2021-07-29,"1,7,22,33,40,48",10
2021-07-26,"3,8,30,34,39,46",44
2021-07-22,"1,21,26,38,44,45",17
2021-07-19,"4,10,21,33,42,44",19
2021-07-15,"3,5,9,14,23,26",20
2021-07-12,"18,19,23,24,38,45",27
2021-07-08,"7,9,15,20,23,40",2
2021-07-05,"8,14,20,28,29,36",18
2021-07-01,"4,5,9,17,31,34",8
2021-06-28,"14,31,32,33,38,47",45
2021-06-24,"1,12,17,21,24,44",23
2021-06-21,"7,8,10,14,17,28",45
2021-06-17,"5,12,15,30,38,43",33
2021-06-14,"5,16,23,24,28,45",40
2021-06-10,"1,9,15,22,24,42",10
2021-06-07,"7,14,23,31,39,41",33
2021-06-03,"1,7,21,26,30,39",40
2021-05-31,"14,15,18,19,30,44",6
2021-05-27,"3,7,9,24,36,38",43
2021-05-24,"11,18,23,31,32,33",49
2021-05-20,"7,12,18,29,32,37",44
2021-05-17,"5,6,11,36,41,46",8
2021-05-13,"2,4,5,16,39,47",24
2021-05-10,"6,18,32,33,34,45",8
2021-05-06,"4,6,12,20,31,35",47
2021-05-03,"15,17,18,35,41,42",3
2021-04-29,"2,19,22,29,36,43",5
2021-04-26,"2,15,18,36,42,49",26
2021-04-22,"3,17,22,32,38,48",41
2021-04-19,"8,10,16,17,20,43",32
2021-04-15,"10,14,23,25,35,46",39
2021-04-12,"4,23,27,43,48,49",47
2021-04-08,"7,8,9,14,28,35",4
2021-04-05,"9,11,15,17,25,40",5
2021-04-01,"10,11,15,21,29,44",26
2021-03-29,"14,15,20,23,30,35",39
2021-03-25,"4,16,17,20,22,44",38
2021-03-22,"2,12,20,35,37,44",17
2021-03-18,"2,5,12,24,25,29",3
2021-03-15,"12,15,19,28,35,43",44
2021-03-11,"12,19,26,41,46,47",35
2021-03-08,"8,13,17,27,33,40",38
2021-03-04,"11,12,20,28,30,38",27
2021-03-01,"5,6,7,13,25,37",30
2021-02-26,"21,24,40,42,44,48",1
2021-02-22,"3,6,8,11,36,48",1
2021-02-18,"1,4,6,15,40,44",37
2021-02-15,"9,13,18,20,34,40",36
2021-02-11,"10,23,25,28,46,49",36
2021-02-08,"9,10,25,27,34,42",29
2021-02-05,"8,9,11,24,26,47",34
2021-02-01,"4,6,9,18,27,39",33
2021-01-28,"6,16,25,32,35,37",22
2021-01-25,"8,9,12,17,33,39",48
2021-01-21,"8,11,15,17,19,35",45
2021-01-18,"2,12,23,33,35,37",43
2021-01-14,"12,21,23,25,32,44",42
2021-01-11,"3,5,8,19,26,47",41
2021-01-07,"1,7,9,12,32,36",17
2021-01-04,"4,5,8,12,27,42",14
2021-01-01,"5,8,13,16,35,47",2
2020-12-28,"32,34,40,45,46,47",25
2020-12-24,"5,11,19,21,22,37",26
2020-12-21,"4,8,15,31,36,39",47
2020-12-17,"5,8,27,33,35,41",30
2020-12-14,"6,21,29,45,47,48",15
2020-12-10,"10,17,22,23,27,33",34
2020-12-07,"7,13,14,33,37,48",24
2020-12-03,"1,7,8,11,36,40",31
2020-11-30,"2,3,25,33,35,49",10
2020-11-26,"2,5,8,27,35,48",29
2020-11-23,"1,7,11,22,30,45",48
2020-11-19,"3,12,22,23,34,42",49
2020-11-16,"1,2,20,27,36,44",17
2020-11-12,"9,11,14,22,26,35",20
2020-11-09,"8,12,13,30,37,46",36
2020-11-05,"3,19,25,33,40,44",37
2020-11-02,"3,36,37,44,48,49",35
2020-10-29,"10,12,27,37,39,46",13
2020-10-26,"2,8,11,19,41,49",27
2020-10-22,"11,25,28,30,34,36",24
2020-10-19,"9,10,11,13,20,25",15
2020-10-15,"14,27,28,31,46,48",7
2020-10-12,"1,10,14,40,41,48",30
2020-10-08,"2,3,7,12,21,34",41
2020-10-05,"7,10,14,15,39,44",1
2020-10-01,"7,10,11,21,26,48",13
2020-09-28,"5,16,27,34,41,42",49
2020-09-24,"4,31,36,40,45,48",26
2020-09-21,"13,16,17,20,27,38",26
2020-09-17,"1,3,9,19,36,39",5
2020-09-14,"2,11,13,15,28,45",36
2020-09-10,"15,21,27,36,39,43",45
2020-09-07,"9,11,19,22,36,45",23
2020-09-03,"4,16,27,32,44,47",9
2020-08-31,"12,15,16,23,25,46",47
2020-08-27,"2,10,13,32,41,43",24
2020-08-24,"1,19,24,26,37,41",22
2020-08-20,"6,15,19,26,30,48",41
2020-08-17,"1,2,15,30,35,46",38
2020-08-13,"5,9,29,41,42,43",28
2020-08-10,"9,19,20,29,36,43",38
2020-08-06,"10,28,35,39,41,43",44
2020-08-03,"1,3,10,15,32,40",7
2020-07-30,"18,24,34,38,43,48",8
2020-07-27,"4,19,25,31,34,37",32
2020-07-23,"4,12,13,20,35,36",18
2020-07-20,"1,20,23,24,40,42",48
2020-07-16,"5,18,27,28,29,37",21
2020-07-13,"6,22,34,35,37,43",33
2020-07-09,"8,10,12,16,21,48",41
2020-07-06,"1,22,26,38,39,48",40
2020-07-02,"3,20,36,38,43,48",16
2020-06-29,"3,9,17,38,39,41",13
2020-06-25,"23,37,42,43,47,49",34
2020-04-02,"4,11,14,23,28,47",24
2020-03-30,"1,7,17,29,30,43",31
2020-03-26,"7,12,13,19,42,46",29
2020-03-23,"10,30,35,39,42,49",18
2020-03-19,"8,19,27,33,37,47",18
2020-03-16,"2,15,19,40,47,48",27
2020-03-12,"1,3,18,34,36,49",16
2020-03-09,"4,11,14,22,29,47",6
2020-03-05,"12,14,30,37,38,40",42
2020-03-02,"11,37,39,41,42,46",43
2020-02-27,"10,32,35,36,46,49",40
2020-02-24,"11,24,26,29,42,47",25
2020-02-20,"7,19,26,31,34,40",6
2020-02-17,"17,19,23,30,42,45",13
2020-02-13,"5,7,19,23,44,48",45
2020-02-10,"8,12,15,17,32,46",20
2020-02-07,"10,15,16,21,24,49",2
2020-02-03,"6,9,23,34,42,49",22
2020-01-30,"7,20,29,41,47,49",28
2020-01-27,"3,32,38,43,46,48",34
2020-01-23,"9,14,36,38,40,47",30
2020-01-20,"11,18,20,22,27,37",39
2020-01-17,"1,11,24,28,45,48",23
2020-01-13,"2,3,4,13,16,33",14
2020-01-09,"12,24,34,38,46,47",28
2020-01-06,"2,7,11,15,26,47",33
2020-01-03,"13,15,21,23,30,35",25
